"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"393","202734_at",1.64925046791772,7.88629872356907,6.22349621190966,1.25337990584271e-05,0.00095166107552216,3.41193127686975,"TRIP10","thyroid hormone receptor interactor 10"
"2264","236107_at",0.64046628595379,7.7374937600149,6.22295388491619,1.25463895844571e-05,0.00095166107552216,3.41093474023209,"UBE2Z","ubiquitin conjugating enzyme E2 Z"
"2102","230178_s_at",-0.969345266420723,7.70505199758557,-6.21341387312951,1.27700316494176e-05,0.000967281190665248,3.39339792940121,"ELP2","elongator acetyltransferase complex subunit 2"
"1096","212570_at",0.959610497264357,7.15397639289881,6.21090832443549,1.28294526423997e-05,0.000970436145650104,3.38878998646871,"ENDOD1","endonuclease domain containing 1"
"256","201294_s_at",0.929560538445514,11.1688232319606,6.20889239391957,1.2877470658277e-05,0.000972721030512421,3.38508184942328,"WSB1","WD repeat and SOCS box containing 1"
"814","208683_at",0.691952354450457,10.6131349474839,6.20589927958934,1.29491094701791e-05,0.000976781374992943,3.37957519710538,"CAPN2","calpain 2"
"535","204269_at",1.24085196816403,6.87382940189887,6.20419843270362,1.29900029823295e-05,0.00097701084375469,3.37644545623512,"PIM2","Pim-2 proto-oncogene, serine/threonine kinase"
"1262","215092_s_at",1.13715133725453,8.08118929697546,6.2048291118852,1.29748239022983e-05,0.00097701084375469,3.37760602164269,"NFAT5","nuclear factor of activated T cells 5"
"2386","242388_x_at",1.52413245628964,6.37189719143948,6.20354203528147,1.30058206545998e-05,0.00097701084375469,3.37523750446119,"TAGAP","T cell activation RhoGTPase activating protein"
"356","202313_at",0.8089770873114,8.89212244632331,6.20007902902316,1.30896033361401e-05,0.000977094785931795,3.36886360613702,"PPP2R2A","protein phosphatase 2 regulatory subunit Balpha"
"668","205641_s_at",0.5508101226264,8.65692541510065,6.19959099554316,1.31014556730974e-05,0.000977094785931795,3.36796521025343,"TRADD","TNFRSF1A associated via death domain"
"766","207536_s_at",0.700256552067271,6.24549528838748,6.20078188097263,1.30725535229495e-05,0.000977094785931795,3.37015739084945,"TNFRSF9","TNF receptor superfamily member 9"
"984","210705_s_at",1.32372440667324,9.04782476352912,6.19906322685727,1.31142855746435e-05,0.000977094785931795,3.36699362974677,"TRIM5","tripartite motif containing 5"
"1008","211014_s_at",1.13514187295798,6.55134643359321,6.20190013669863,1.30454744058183e-05,0.000977094785931795,3.37221569117003,"PML","PML nuclear body scaffold"
"1143","213034_at",0.986967066514896,8.38092037542758,6.20251391415974,1.30306362772941e-05,0.000977094785931795,3.37334535568642,"SIK3","SIK family kinase 3"
"2118","230526_at",-1.16108460476925,9.10974388824276,-6.18717943718975,1.34066621137104e-05,0.000997517762964664,3.34510602833092,NA,NA
"2150","231791_at",1.35253246278078,5.6291308840029,6.17291367975337,1.37666147961607e-05,0.00102166204625627,3.3188048192909,"ASAH2B","N-acylsphingosine amidohydrolase 2B"
"2306","238725_at",1.16859549547928,8.33973170978838,6.17283700137738,1.3768576456972e-05,0.00102166204625627,3.31866337238013,"IRF1","interferon regulatory factor 1"
"2087","229954_at",-1.02332798430063,8.87282245238821,-6.17107126194131,1.38138298020531e-05,0.00102362915465336,3.31540592099412,"CHDH","choline dehydrogenase"
"1207","213935_at",-1.11482441063377,7.84063443730383,-6.15911559923684,1.41243320442005e-05,0.00104380533955335,3.29333837973016,"ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase"
"2431","244087_at",0.961141577182601,6.4629520547633,6.15961947458778,1.4111100479998e-05,0.00104380533955335,3.29426883250347,NA,NA
"1525","220812_s_at",0.986683195369491,4.50538563898473,6.15536403785477,1.42232528881952e-05,0.00104969528376082,3.28640964122025,"HHLA2","HHLA2 member of B7 family"
"533","204236_at",-0.952118990511778,9.12123549567715,-6.15201850771085,1.43120749589275e-05,0.00105482503337639,3.28022911797796,"FLI1","Fli-1 proto-oncogene, ETS transcription factor"
"770","207630_s_at",1.12568185355448,7.94128953493233,6.15116214067287,1.43349035997694e-05,0.00105508367964178,3.27864681305889,"CREM","cAMP responsive element modulator"
"436","203140_at",0.859924421813631,11.3266503302346,6.14718544733684,1.44414094779511e-05,0.00105864254472395,3.27129773690721,"BCL6","BCL6 transcription repressor"
"1280","215867_x_at",1.12478919867282,5.96027588525748,6.14739659430497,1.44357338057528e-05,0.00105864254472395,3.27168800057916,"CA12","carbonic anhydrase 12"
"2179","232504_at",2.11321449120819,8.71144872446744,6.14734819255945,1.44370346493835e-05,0.00105864254472395,3.27159854002288,"MIR3142HG","MIR3142 host gene"
"500","203895_at",1.58832469859994,4.40243168946447,6.14456256633073,1.4512106701933e-05,0.00106239903929312,3.26644933083423,"PLCB4","phospholipase C beta 4"
"2337","239979_at",1.27576023396727,6.80030484457851,6.14201966016878,1.45809917545124e-05,0.00106601298887441,3.26174782913369,NA,NA
"1255","214937_x_at",-0.595030296281758,8.99306027237392,-6.14128029355416,1.4601084239197e-05,0.00106605483095624,3.2603806650563,"PCM1","pericentriolar material 1"
"2089","229980_s_at",-0.766205707775104,11.2203775357265,-6.13958394923191,1.46472916705916e-05,0.00106800072096932,3.25724365960628,"SNX5","sorting nexin 5"
"143","1559777_at",2.32375473277451,8.0830226158242,6.13870187700161,1.46713788385631e-05,0.00106833068334727,3.25561230551272,"MIR3945HG","MIR3945 host gene"
"372","202510_s_at",0.637517240139632,11.9711039273956,6.13414999381072,1.47963353067892e-05,0.00107599502011941,3.24719204724528,"TNFAIP2","TNF alpha induced protein 2"
"1587","222221_x_at",1.43356242202129,8.40693063523932,6.12885819359239,1.49429951754461e-05,0.00108521515361255,3.23739937837625,"EHD1","EH domain containing 1"
"70","1555037_a_at",-1.04575507397093,10.4678354792962,-6.12547505101029,1.50375483920655e-05,0.00108693288567547,3.23113667626304,"IDH1","isocitrate dehydrogenase (NADP(+)) 1"
"780","207872_s_at",1.56012441628293,6.24666068933639,6.12516454859064,1.50462575132414e-05,0.00108693288567547,3.23056180890641,"LILRA1","leukocyte immunoglobulin like receptor A1"
"1154","213135_at",-0.582529118884452,10.4658667534165,-6.12582118725385,1.50278459709253e-05,0.00108693288567547,3.23177750039275,"TIAM1","TIAM Rac1 associated GEF 1"
"1561","221827_at",0.816505821827596,9.46249655946781,6.12631931306753,1.501389460074e-05,0.00108693288567547,3.23269968281455,"RBCK1","RANBP2-type and C3HC4-type zinc finger containing 1"
"2435","244322_at",1.39500900580452,6.06421856635073,6.12399525653686,1.50791014435909e-05,0.00108786653519,3.22839684743075,"LINC-PINT","long intergenic non-protein coding RNA, p53 induced transcript"
"277","201508_at",1.69804185838226,7.02296195886558,6.11809704428224,1.52459142016015e-05,0.00109845001621644,3.21747327711917,"IGFBP4","insulin like growth factor binding protein 4"
"369","202479_s_at",1.28677180855922,6.66292998646092,6.11483554703472,1.53389778605031e-05,0.00110369907496133,3.21143083061269,"TRIB2","tribbles pseudokinase 2"
"156","1560705_at",0.944784819537844,7.40411703660632,6.11320947060977,1.53855967027596e-05,0.00110414401146887,3.20841770256861,"SLC25A28","solute carrier family 25 member 28"
"1939","227353_at",-1.09856173239121,9.01295139134588,-6.11380266735976,1.53685729977929e-05,0.00110414401146887,3.2095169424479,"TMC8","transmembrane channel like 8"
"2277","236859_at",0.747142648215056,6.36574337411564,6.1123254526383,1.5411002833877e-05,0.00110451587633402,3.20677945614182,"RUNX2","RUNX family transcription factor 2"
"1937","227272_at",-1.19609463478124,8.94113244456321,-6.11020994989093,1.54719782196265e-05,0.00110743269529287,3.20285859637483,"CCDC9B","coiled-coil domain containing 9B"
"150","1560156_at",1.77938485987415,6.92690570481294,6.10911190900571,1.5503725957135e-05,0.00110825259907986,3.20082324529394,NA,NA
"1162","213241_at",1.06419717293902,6.07641462898079,6.10459022807477,1.56351766549981e-05,0.00111618810805152,3.19243997318034,"PLXNC1","plexin C1"
"909","209762_x_at",1.24271048439364,11.0722320002218,6.10180807160486,1.57166322838483e-05,0.0011190774953296,3.18728037612787,"SP110","SP110 nuclear body protein"
"1124","212777_at",0.690343358746555,8.37269044875213,6.10211880001271,1.57075129845224e-05,0.0011190774953296,3.18785668589543,"SOS1","SOS Ras/Rac guanine nucleotide exchange factor 1"
"1047","211786_at",1.24517384494706,4.81289508135589,6.09956011143988,1.57827697929091e-05,0.0011194083203898,3.18311066617394,"TNFRSF9","TNF receptor superfamily member 9"
"1206","213911_s_at",-0.718959565545196,11.060944257406,-6.09964110179584,1.57803819512869e-05,0.0011194083203898,3.18326090642095,"H2AZ1","H2A.Z variant histone 1"
"1702","224571_at",-0.921535901109907,10.5878569532828,-6.10076898939255,1.57471673847098e-05,0.0011194083203898,3.185353085532,"IRF2BP2","interferon regulatory factor 2 binding protein 2"
"2195","233464_at",0.611921403686336,4.86228368505781,6.09748664097745,1.58440300057379e-05,0.0011222957337268,3.17926398346107,"BCL2L14","BCL2 like 14"
"1375","218308_at",-0.692479535015803,8.87728016247897,-6.09529164038674,1.59091500574007e-05,0.00112544872031713,3.17519117926657,"TACC3","transforming acidic coiled-coil containing protein 3"
"1065","212098_at",-0.687369540285129,9.52772121288886,-6.09310542196122,1.59742860214062e-05,0.00112859467333384,3.17113399578405,"MGAT5","alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase"
"1882","226733_at",-1.24701562383772,6.97187583339093,-6.08927139065534,1.60891866306029e-05,0.0011352438623477,3.16401717665666,"PFKFB2","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"
"2288","238063_at",1.59749154591174,6.42194470453726,6.08657284034184,1.61705730548732e-05,0.00113951420160747,3.15900682334838,"TMEM154","transmembrane protein 154"
"2413","243296_at",1.72472141919213,7.40352636886964,6.08301533215781,1.62785191541628e-05,0.00114564274042048,3.15240009143429,"NAMPT","nicotinamide phosphoribosyltransferase"
"2243","235421_at",0.920614546404613,9.90878328709617,6.08167320931919,1.63194376735915e-05,0.00114704433676686,3.14990714107903,"MAP3K8","mitogen-activated protein kinase kinase kinase 8"
"745","206978_at",1.62270855046467,6.99716626521947,6.07916623839331,1.63961564362597e-05,0.0011509553874723,3.14524984399441,"CCR2","C-C motif chemokine receptor 2"
"1859","226450_at",-0.945231750643275,7.95695505228045,-6.0762562948793,1.64856771034183e-05,0.00115575389428625,3.13984282089994,"INSR","insulin receptor"
"1697","224461_s_at",1.36383587555236,7.0151248888991,6.07423954225882,1.65480176810049e-05,0.00115863703796502,3.13609475495156,"AIFM2","apoptosis inducing factor mitochondria associated 2"
"503","203927_at",1.00734927903612,8.78354750138543,6.06803385803132,1.67413845482439e-05,0.00117067507597086,3.12455811745021,"NFKBIE","NFKB inhibitor epsilon"
"1956","227647_at",-1.23981194090036,9.81085720724193,-6.06649496936473,1.67896979790547e-05,0.00117255214287738,3.12169641926367,"KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3"
"1138","212986_s_at",0.75878866393454,7.76162631880905,6.06526225239636,1.68285036103945e-05,0.0011737612613978,3.11940383425971,"TLK2","tousled like kinase 2"
"241","201096_s_at",0.712813662483395,8.97967722320248,6.05895345372161,1.70285666808334e-05,0.00118319830765798,3.10766750360764,"ARF4","ADP ribosylation factor 4"
"531","204211_x_at",0.842122110329592,10.511676561588,6.0589461324061,1.70288002823352e-05,0.00118319830765798,3.10765388043537,"EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2"
"1481","219869_s_at",3.38008386255128,9.57913930529097,6.05972990039945,1.70038114516274e-05,0.00118319830765798,3.10911223772074,"SLC39A8","solute carrier family 39 member 8"
"162","1561738_at",1.81871162279541,6.22778286483915,6.05767456356674,1.70694228152083e-05,0.00118451383507874,3.10528768865313,NA,NA
"2325","239427_at",1.1458950831395,5.7965744107253,6.05375868676925,1.71951559450827e-05,0.00119172468480812,3.09799942637222,"SLAMF1","signaling lymphocytic activation molecule family member 1"
"224","200783_s_at",-1.11155559009722,9.37445597609913,-6.04933139504992,1.73384692104109e-05,0.00120013411785573,3.08975672449519,"STMN1","stathmin 1"
"400","202760_s_at",2.92177808311753,9.5358255219097,6.04104689556964,1.76099843290099e-05,0.0012145687570905,3.07432531970613,"PALM2AKAP2","PALM2 and AKAP2 fusion"
"808","208607_s_at",0.845008095296423,7.38188561478931,6.04093363732637,1.7613726688072e-05,0.0012145687570905,3.07411428876954,"SAA2","serum amyloid A2"
"809","208607_s_at",0.845008095296423,7.38188561478931,6.04093363732637,1.7613726688072e-05,0.0012145687570905,3.07411428876954,"SAA1","serum amyloid A1"
"810","208607_s_at",0.845008095296423,7.38188561478931,6.04093363732637,1.7613726688072e-05,0.0012145687570905,3.07411428876954,"SAA2-SAA4","SAA2-SAA4 readthrough"
"1460","219558_at",0.772531707531574,11.7618583060109,6.0414895878876,1.75953644963855e-05,0.0012145687570905,3.07515015876414,"ATP13A3","ATPase 13A3"
"662","205579_at",1.04129623489417,7.65311955706527,6.03615484929547,1.77723858296412e-05,0.00122396381754627,3.06520846923997,"HRH1","histamine receptor H1"
"1475","219778_at",1.34989386756384,4.24963822204968,6.03508291516423,1.78081781677682e-05,0.00122488417415154,3.06321035809993,"ZFPM2","zinc finger protein, FOG family member 2"
"1151","213109_at",1.45827582619003,9.02400796276885,6.03423253327906,1.7836626028744e-05,0.00122529768214817,3.06162511131727,"TNIK","TRAF2 and NCK interacting kinase"
"518","204067_at",-0.848821704219763,9.15758863350581,-6.031639445395,1.79236644401884e-05,0.00122973000762815,3.05679055929292,"SUOX","sulfite oxidase"
"404","202827_s_at",0.956661112916112,6.93564409287492,6.03046434635718,1.79632524011056e-05,0.00123089975330186,3.05459939537417,"MMP14","matrix metallopeptidase 14"
"432","203125_x_at",0.722496930299803,8.25471486843972,6.02825261996299,1.80380098281236e-05,0.00123138728842914,3.05047474672495,"SLC11A2","solute carrier family 11 member 2"
"1110","212650_at",0.654220608826448,8.76014617378312,6.02955690681134,1.79938852990376e-05,0.00123138728842914,3.05290719409047,"EHBP1","EH domain binding protein 1"
"1473","219763_at",0.990229896071462,7.44789868013983,6.02883736873168,1.80182136715451e-05,0.00123138728842914,3.0515653112558,"DENND1A","DENN domain containing 1A"
"1824","226066_at",-0.82473250030541,10.9568028518478,-6.02535505732234,1.81364380582516e-05,0.0012365609134523,3.04507004693415,"MITF","melanocyte inducing transcription factor"
"998","210845_s_at",0.76293126969313,12.6448710945231,6.02400194808355,1.81825931432489e-05,0.00123816204405517,3.04254574804262,"PLAUR","plasminogen activator, urokinase receptor"
"2215","234580_at",1.03497866298785,7.10514128760909,6.02164777793028,1.82631857465702e-05,0.00124210132400677,3.03815330564988,"TMEM106A","transmembrane protein 106A"
"1523","220736_at",-1.25364677499697,9.83549155883956,-6.02040961801914,1.83057216491324e-05,0.00124344574182098,3.03584281943127,"SLC19A3","solute carrier family 19 member 3"
"1547","221523_s_at",-0.740635373756112,9.57661263976959,-6.01972025558436,1.83294486642056e-05,0.00124351078248231,3.03455633185932,"RRAGD","Ras related GTP binding D"
